Type,Notes,Distance
left,NW Highland Dr,0
right,NW Crescent Valley Dr,1.7522939103687245
left,NW Lewisburg Ave,3.4529359013311067
left,NW Sulphur Springs Rd,3.602240347723226
right,Soap Creek Rd,7.012776671882722
right,Tampico Rd,13.94678864450194
right,Berry Creek Rd,20.803278397455372
left,Airlie Rd,21.897677725631304
left,S Pacific Hwy W,28.496814681514795
left,Helmick Rd,29.04587690773401
right,Fir Crest Rd,39.622641020472784
left,Warren St S,39.73225417441645
right,Warren St N,40.06986519060757
left,Main St W,40.481388795701676
right,Monmouth Ave N,41.81836204652015
right,Riddell Rd,41.84785377822692
right,Hoffman Rd,43.036038265074126
right,Polk St,46.083912666294964
left,N Main St,46.618859738644844
right,C St,47.03461511675196
right,S Main St,48.08976508795945
right,River Rd S,48.11345746810284
left,Riverside Dr S,48.19738979996001
right,Riverside Rd S,55.95043706825076
left,Sidney Rd S,56.7147510711094
right,Buena Vista Rd S,59.36869074813566
left,Buena Vista - Willamette Ferry,63.85478202226259
right,Willamette Ferry St,63.9801324836232
right,Riverview St,64.14526315777354
right,Meridian St,64.438278059623
left,Buena Vista Rd,64.95856201259112
right,NW Springhill Dr,71.18597030859442
left,NW Independence Hwy,72.60319037792546
left,NE Pettibone Dr,79.57433982132818
left,NE Logsdon Rd,81.65997642163099
right,NE Pettibone Dr,81.99114676049757
right,NE Granger Ave,83.90829936476096
left,NE Elliott Cir,84.4773190167049
right,NE Granger Ave,86.976081161242
right,Pacific Hwy W,87.52357153155242
right,NW 9th St,89.05963213421792
left,NW Circle Blvd,89.65134801673439
right,NW Highland Dr,89.8050479232847
,NW Spruce Ave,89.8727686369948
